"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 17:24:04 GMT 2023","Wed Dec 13 17:24:09 GMT 2023","5042","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hidden elements",""
"passed","Wed Dec 13 17:21:57 GMT 2023","Wed Dec 13 17:22:05 GMT 2023","8033","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering iphone 13 pro",""
"passed","Wed Dec 13 17:22:25 GMT 2023","Wed Dec 13 17:22:42 GMT 2023","17795","demoqa","../tests-demoqa/textBoxKeysAndShort.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Wed Dec 13 17:21:52 GMT 2023","Wed Dec 13 17:21:57 GMT 2023","4939","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with anshika@gmail.com and Iamking@000",""
"passed","Wed Dec 13 17:24:28 GMT 2023","Wed Dec 13 17:24:33 GMT 2023","4952","client app","uiBasics.spec.ts","","","","@Web TC:Verify presence of iphone X in product list",""
"passed","Wed Dec 13 17:24:43 GMT 2023","Wed Dec 13 17:24:51 GMT 2023","7764","client app","uiFrames.spec.ts","","","","@Web TC: Verify UI IFrame",""
"passed","Wed Dec 13 17:23:56 GMT 2023","Wed Dec 13 17:24:04 GMT 2023","8244","client app","hiddenElements.spec.ts","","","","@Web TC: Verify goBack and goForward methods",""
"passed","Wed Dec 13 17:24:14 GMT 2023","Wed Dec 13 17:24:20 GMT 2023","5990","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hover and select needed item",""
"passed","Wed Dec 13 17:24:52 GMT 2023","Wed Dec 13 17:24:52 GMT 2023","37","teardown","auth.tearDown.spec.ts","Teardown","","","Remove ${authFile} after running client app tests",""
"passed","Wed Dec 13 17:24:41 GMT 2023","Wed Dec 13 17:24:43 GMT 2023","2492","client app","uiBasics.spec.ts","","","","@Web TC: Child windows handling",""
"passed","Wed Dec 13 17:24:20 GMT 2023","Wed Dec 13 17:24:25 GMT 2023","4796","client app","hiddenElements.spec.ts","","","","@Web TC: Verify work of screenshot and visual comparison",""
"passed","Wed Dec 13 17:22:05 GMT 2023","Wed Dec 13 17:22:14 GMT 2023","8487","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering zara coat 3",""
"passed","Wed Dec 13 17:22:16 GMT 2023","Wed Dec 13 17:22:25 GMT 2023","8399","demoqa","../tests-demoqa/textBoxAndFaker.spec.ts","@Demoqa Text Box Tests","","","TC 1: Fill out input text fields by data from faker lib",""
"passed","Wed Dec 13 17:24:09 GMT 2023","Wed Dec 13 17:24:14 GMT 2023","5349","client app","hiddenElements.spec.ts","","","","@Web TC: Verify popup validation",""
"passed","Wed Dec 13 17:23:54 GMT 2023","Wed Dec 13 17:23:55 GMT 2023","980","setup","auth.setupNew.spec.ts","","","","default authentication for client app",""
"passed","Wed Dec 13 17:23:21 GMT 2023","Wed Dec 13 17:23:43 GMT 2023","22510","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Wed Dec 13 17:22:42 GMT 2023","Wed Dec 13 17:23:21 GMT 2023","38291","demoqa","../tests-demoqa/textBoxKeysAndShort.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Wed Dec 13 17:23:43 GMT 2023","Wed Dec 13 17:23:52 GMT 2023","8366","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Wed Dec 13 17:24:33 GMT 2023","Wed Dec 13 17:24:38 GMT 2023","5026","client app","uiBasics.spec.ts","","","","@Web TC: Retrive all card titles from home page",""
"passed","Wed Dec 13 17:21:46 GMT 2023","Wed Dec 13 17:21:52 GMT 2023","6172","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1",""
"passed","Wed Dec 13 17:24:25 GMT 2023","Wed Dec 13 17:24:28 GMT 2023","3206","client app","uiBasics.spec.ts","","","","@Web TC:Catch unshowing message and Verify text message",""
"passed","Wed Dec 13 17:24:38 GMT 2023","Wed Dec 13 17:24:41 GMT 2023","2449","client app","uiBasics.spec.ts","","","","@Web TC: Verify UI controls",""
